year,candidate,party_simplified,candidatevotes,winning_candidate,winning_party
1976,"ANDERSON, THOMAS J.",OTHER,147835,"CARTER, JIMMY",DEMOCRAT
1976,"BUBAR, BENJAMIN """"BEN""""",OTHER,15888,"CARTER, JIMMY",DEMOCRAT
1976,"CAMEJO, PETER",OTHER,89737,"CARTER, JIMMY",DEMOCRAT
1976,"CARTER, JIMMY",DEMOCRAT,40680446,"CARTER, JIMMY",DEMOCRAT
1976,"CARTER, JIMMY",OTHER,145393,"CARTER, JIMMY",DEMOCRAT
1976,"FORD, GERALD",OTHER,274878,"CARTER, JIMMY",DEMOCRAT
1976,"FORD, GERALD",REPUBLICAN,38870893,"CARTER, JIMMY",DEMOCRAT
1976,"HALL, GUS",OTHER,57721,"CARTER, JIMMY",DEMOCRAT
1976,"JULIUS """"JULES"""", LEVIN",OTHER,9229,"CARTER, JIMMY",DEMOCRAT
1976,"LAROUCHE, LYNDON, JR.",OTHER,39148,"CARTER, JIMMY",DEMOCRAT
1976,"MACBRIDE, ROGER",LIBERTARIAN,95626,"CARTER, JIMMY",DEMOCRAT
1976,"MACBRIDE, ROGER",OTHER,75640,"CARTER, JIMMY",DEMOCRAT
1976,"MADDOX, LESTER",OTHER,168623,"CARTER, JIMMY",DEMOCRAT
1976,"MCCARTHY, EUGENE """"GENE""""",OTHER,676701,"CARTER, JIMMY",DEMOCRAT
1976,OTHER,OTHER,165478,"CARTER, JIMMY",DEMOCRAT
1976,SCATTERING,OTHER,12822,"CARTER, JIMMY",DEMOCRAT
1976,"WRIGHT, MARGARET",OTHER,46914,"CARTER, JIMMY",DEMOCRAT
1976,"ZEIDLER, FRANK",OTHER,5632,"CARTER, JIMMY",DEMOCRAT
1980,"ANDERSON, JOHN B.",OTHER,5719222,"REAGAN, RONALD",REPUBLICAN
1980,"BUBAR, BENJAMIN """"BEN""""",OTHER,7127,"REAGAN, RONALD",REPUBLICAN
1980,"CARTER, JIMMY",DEMOCRAT,35480948,"REAGAN, RONALD",REPUBLICAN
1980,"CLARK, EDWARD """"ED""""",LIBERTARIAN,867401,"REAGAN, RONALD",REPUBLICAN
1980,"CLARK, EDWARD """"ED""""",OTHER,52648,"REAGAN, RONALD",REPUBLICAN
1980,"COMMONER, BARRY",OTHER,232533,"REAGAN, RONALD",REPUBLICAN
1980,"CONGRESS, RICHARD",OTHER,4029,"REAGAN, RONALD",REPUBLICAN
